Profile URL,Tweet 1 URL,Tweet 1 Source,Tweet 2 URL,Tweet 2 Source,Tweet 3 URL,Tweet 3 Source
https://twitter.com/1414_degrees,https://twitter.com/1414_Degrees/status/1472774970434473986,Twitter Web App,https://twitter.com/1414_Degrees/status/1453611402044710914,Twitter Web App,https://twitter.com/1414_Degrees/status/1450261527966076929,Twitter Web App
https://twitter.com/myhealth1st,https://twitter.com/MyHealth1st/status/1303213829157863424,Twitter Web App,https://twitter.com/MyHealth1st/status/1460168176390524931,Mailchimp,https://twitter.com/MyHealth1st/status/1415153046984744960,Hootsuite Inc.
https://twitter.com/3plearning,https://twitter.com/3PLearning/status/1506043061066944512,Hootsuite Inc.,,,,
